what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995427465
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.300.v200904230730,"org.eclipse.jst.j2ee.ejb",1365995427588
started,bundle,org.eclipse.jst.common.frameworks,1.1.300.v200904132230,"org.eclipse.jst.common.frameworks",1365995427610
started,bundle,org.eclipse.jst.j2ee.jca,1.1.300.v200903120000,"org.eclipse.jst.j2ee.jca",1365995427658
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1365995427720
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995431453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995433193
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995450579
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995464144
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995468039
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995468567
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995472004
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995472370
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995473065
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1365995474278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995475445
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995479851
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995485055
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995787849
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365995789808
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365996214747
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365996233061
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365996238968
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365996239839
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1365996241640
